city,name,role,instagram
BROWN THOMAS,ALEX HASSETT,Run,hassettwex
BROWN THOMAS,CARLA BREDIN,Cycle ,thecarlabredin
BROWN THOMAS,LORRAINE CONWELL,Train,lorraineconwell
BROWN THOMAS,SARAH SHANNON,Yoga,sarahshannonyoga
ZURICH,ALESSANDRA GIUNTA,Train,alessandragiunta
ZURICH,EMANUEL LABHART,Train,emanuel_labhart
ZURICH,MARIA POUNTOU,Yoga,hybridyogini
STOCKHOLM,SIMON CARLFJORD,Train,simoncarlfjord
STOCKHOLM,FELIX NORDQVIST,Train,felixno
STOCKHOLM,YOHANNA MANNELQVIST,Yoga,withyohanna
STOCKHOLM,MAGNUS FRIDH,Yoga,magnus_fridh
STOCKHOLM,CHARLOTTE ARVERED,Run,thecharlottearvered
AMSTERDAM,RUBEN SPAPENS,Train,kettlebell_outdoor
AMSTERDAM,KARLIJN VISSER,Culture,karlijn_visser
AMSTERDAM,STEF VAN GELDER,Train,stefvangelder
AMSTERDAM,DENNIS VAN MILTENBURG,Train,dennis.van.miltenburg
AMSTERDAM,TASH RICHARDS,Yoga,tashrichardsyoga
OSLO,FRANCESCA GOLFETTO,Yoga,francesca.golfetto
OSLO,CHRISTIAN RONESS,Train,christianroness
OSLO,NASSIMA DZAIR,Entrepreneur ,
OSLO,ROBBIE BUDGE,Cycling,r_budge_tri
OSLO,ANNE WANGENSTEEN,Train,abwangensteen
